batch_id,p2a_overall_rank,security_id,stock_code_5d,security_name,source_url,governance_status,governance_date,governance_title,governance_summary,earnings_status,earnings_date,earnings_title,earnings_summary,catalyst_status,catalyst_date,catalyst_title,catalyst_summary
P2B_E2_TOP_QUARTILE_20260807,1,HKEX:00005,00005,HSBC HOLDINGS,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=5,EVIDENCE_PARTIAL,2026-05-08,AGM poll results and board/committee changes,Annual/AGM governance disclosures provide current board and committee-change evidence; detailed governance-risk assessment remains to be completed.,EVIDENCE_PARTIAL,2026-05-05,Earnings Release - 1Q26,Official 1Q26 earnings release supplies current operating evidence but does not by itself establish consensus estimate revision.,EVIDENCE_PARTIAL,2026-07-24,HSBC to sell Singapore life and health insurance business to Allianz,Pending/disclosed disposal is security-specific and potentially value-relevant; completion terms/timing and valuation impact still require follow-up.
P2B_E2_TOP_QUARTILE_20260807,2,HKEX:00941,00941,CHINA MOBILE,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=2247,EVIDENCE_PARTIAL,2026-02-12,Resignation of Executive Director and CEO,Current senior-management change is governance-relevant; succession and board oversight implications require follow-up.,EVIDENCE_PARTIAL,2026-04-20,First Quarter 2026 Results,Official Q1 results provide current fundamentals but not direct consensus revision evidence.,RESEARCH_REQUIRED,2026-04-20,First Quarter 2026 Results / customer statistics,Reviewed official filings do not yet establish a distinct forward catalyst beyond routine operating updates.
P2B_E2_TOP_QUARTILE_20260807,3,HKEX:02359,02359,WUXI APPTEC,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=208523,EVIDENCE_PARTIAL,2026-03-23,2025 Annual Results / governance disclosures,Annual results and governance disclosures provide current governance baseline; related-party/capital-allocation assessment remains open.,EVIDENCE_PARTIAL,2026-04-29,2026 First Quarter Results Presentation,Official Q1 results provide current evidence but no direct consensus revision series.,EVIDENCE_PARTIAL,2026-06-26,Completion of A-share repurchase,"Recent capital return is security-specific, but it is completed rather than a clearly pending catalyst; further current catalyst evidence required."
P2B_E2_TOP_QUARTILE_20260807,4,HKEX:00388,00388,HKEX,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1000195147,EVIDENCE_PARTIAL,2026-04-29,AGM results and changes in directorate,AGM and directorate disclosures provide current governance evidence; detailed board-effectiveness assessment remains open.,EVIDENCE_PARTIAL,2026-04-29,2026 First Quarter Results,"Official Q1 results provide current earnings evidence, not direct consensus revision data.",RESEARCH_REQUIRED,2026-06-12,Date of Board Meeting,Reviewed filing is dated and security-specific but the meeting itself precedes the 2026-08-07 as-of date; no unresolved forward catalyst established.
P2B_E2_TOP_QUARTILE_20260807,5,HKEX:01308,01308,SITC,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=52746,EVIDENCE_PARTIAL,2026-04-27,Connected transactions: disposal and lease arrangement,Connected-transaction disclosure is directly relevant to governance/value-trap review; pricing/fairness and related-party economics require deeper assessment.,EVIDENCE_PARTIAL,2026-03-10,Annual Results 2025,Latest identified official results are annual results; no direct 2026 consensus-revision evidence located in this batch.,EVIDENCE_PARTIAL,2026-04-27,Connected transactions: disposal and lease arrangement,"Transaction is company-specific, but current completion status/economic impact needs follow-up before being treated as an active catalyst."
P2B_E2_TOP_QUARTILE_20260807,6,HKEX:00300,00300,MIDEA GROUP,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1000231771,EVIDENCE_PARTIAL,2026-06-05,AGM results and board changes,AGM and board-change filings provide current governance baseline; capital-allocation implications remain open.,EVIDENCE_PARTIAL,2026-06-05,AGM / latest annual reporting cycle,No official consensus revision series identified; current operating evidence is insufficient for an earnings-revision conclusion.,EVIDENCE_PARTIAL,2026-06-15,ANNT0 submitted updated Hong Kong listing application,Proposed subsidiary listing/spin-off is a specific ongoing corporate event with potentially measurable valuation implications.
P2B_E2_TOP_QUARTILE_20260807,7,HKEX:02388,02388,BOC HONG KONG,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=4551,EVIDENCE_PARTIAL,2026-06-25,Retirement of INED and board committee chair change,Current independent-director and committee leadership changes are governance-relevant; effectiveness assessment remains open.,EVIDENCE_PARTIAL,2026-04-29,First Quarter 2026 Financial and Business Review,Official Q1 review provides current fundamentals but no direct consensus revision data.,RESEARCH_REQUIRED,2026-06-25,AGM / board changes,Reviewed filings do not establish a distinct unresolved forward catalyst beyond governance changes.
P2B_E2_TOP_QUARTILE_20260807,8,HKEX:00669,00669,TECHTRONIC IND,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=1557,EVIDENCE_PARTIAL,2026-05-08,AGM results,AGM disclosure and recurring buyback activity provide governance/capital-allocation evidence; deeper incentive and capital-return review remains open.,EVIDENCE_PARTIAL,2026-03-03,2025 Final Results,Latest identified official results are FY2025; direct 2026 expectation-revision evidence remains incomplete.,EVIDENCE_PARTIAL,2026-07-03,Date of Board Meeting and ongoing share repurchases,"Recent board-meeting notice/buybacks are security-specific, but forward earnings or strategic catalyst remains only partially evidenced."
P2B_E2_TOP_QUARTILE_20260807,9,HKEX:01530,01530,3SBIO,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=125086,EVIDENCE_PARTIAL,2026-06-25,"AGM, final dividend and change of auditor",Auditor change and AGM outcomes are directly relevant governance evidence; rationale/independence assessment remains open.,EVIDENCE_PARTIAL,2026-03-17,Board meeting notice for annual results,Annual-results cycle supplies operating evidence but not direct 2026 consensus revision data.,EVIDENCE_PARTIAL,2026-03-17,Proposed spin-off of Mandi Inc. and conditional distribution in specie,Proposed spin-off/distribution is a specific corporate-action catalyst; timing and completion conditions require tracking.
P2B_E2_TOP_QUARTILE_20260807,10,HKEX:00440,00440,DAH SING,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=879,EVIDENCE_PARTIAL,2026-06-05,Change of directors / change of auditor / AGM,Director and auditor changes provide material governance evidence; detailed rationale and risk assessment remain open.,EVIDENCE_PARTIAL,2026-03-30,Final Results 2025,Latest identified official results are FY2025; no direct 2026 expectation-revision evidence located.,RESEARCH_REQUIRED,2026-02-27,Acquisition of properties,Corporate acquisition is company-specific but may no longer be a live forward catalyst as of 2026-08-07; follow-up required.
